strain	accession	genbank_accession_rev	strain_original	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	reverse	clade	lineage	missing_data	divergence	nonACGTN	QC_missing_data	QC_mixed_sites	QC_rare_mutations	QC_frame_shifts	QC_stop_codons	frame_shifts	is_reverse_complement	authors	institution
ON929082	ON929082	ON929082.1	MPXV/Germany/2022/RKI127	2022-07-XX	Europe	Germany			Homo sapiens	2022-07-06		Brinkmann et al		hMPXV-1	B.1	43.0	608.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
ON649714	ON649714	ON649714.1	Monkeypox/PT0015/2022	2022-05-20	Europe	Portugal			Homo sapiens	2022-06-01		Isidro et al		hMPXV-1	B.1	27234.0	526.0	0.0	bad	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P.	Institute National de Saude Doutor Ricardo Jorge (INSA), Portugal
ON929087	ON929087	ON929087.1	MPXV/Germany/2022/RKI132	2022-07-XX	Europe	Germany			Homo sapiens	2022-07-06		Brinkmann et al		hMPXV-1	B.1	304.0	607.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
ON929090	ON929090	ON929090.1	MPXV/Germany/2022/RKI135	2022-07-XX	Europe	Germany			Homo sapiens	2022-07-06		Brinkmann et al		hMPXV-1	B.1	5.0	609.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
ON585031	ON585031	ON585031.1	Monkeypox/PT0003/2022	2022-05-15	Europe	Portugal			Homo sapiens	2022-05-24		Isidro et al		hMPXV-1	B.1	155.0	604.0	0.0	good	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Ferreira,R., Sobral,D., Nunes,A., Santos,J.D., Mixao,V., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Pelerito,A., Cordeiro,R., Gomes,J.P.	Institute National de Saude Doutor Ricardo Jorge (INSA), Portugal
ON959150	ON959150	ON959150.1	MPXV/Germany/2022/RKI145	2022-07-XX	Europe	Germany			Homo sapiens	2022-07-11		Brinkmann et al		hMPXV-1	B.1	12.0	608.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Jessen,H., Schaade,L., Nitsche,A.	
ON959154	ON959154	ON959154.1	MPXV/Germany/2022/RKI137	2022-07-XX	Europe	Germany			Homo sapiens	2022-07-11		Brinkmann et al		hMPXV-1	B.1	10.0	606.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
ON959158	ON959158	ON959158.1	MPXV/Germany/2022/RKI143	2022-07-XX	Europe	Germany			Homo sapiens	2022-07-11		Brinkmann et al		hMPXV-1	B.1	97.0	606.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
ON959162	ON959162	ON959162.1	MPXV/Germany/2022/RKI148	2022-07-XX	Europe	Germany			Homo sapiens	2022-07-11		Brinkmann et al		hMPXV-1	B.1	0.0	607.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
ON813264	ON813264	ON813264.2	MPXV/Germany/2022/RKI064	2022-06-XX	Europe	Germany			Homo sapiens	2022-06-22		Brinkmann et al		hMPXV-1	B.1	100.0	607.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
ON959169	ON959169	ON959169.1	MPXV/Germany/2022/RKI155	2022-07-XX	Europe	Germany			Homo sapiens	2022-07-11		Brinkmann et al		hMPXV-1	B.1	0.0	609.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
ON813265	ON813265	ON813265.2	MPXV/Germany/2022/RKI065	2022-06-XX	Europe	Germany			Homo sapiens	2022-06-22		Brinkmann et al		hMPXV-1	B.1	207.0	605.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
ON959176	ON959176	ON959176.1	MPXV/Germany/2022/RKI163	2022-07-XX	Europe	Germany			Homo sapiens	2022-07-11		Brinkmann et al		hMPXV-1	B.1	0.0	609.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
ON983163	ON983163	ON983163.1	MpxV/human/CAN/UN-NML-3532/2022	2022-06-07	North America	Canada			Homo sapiens	2022-07-14		Duggan et al		hMPXV-1	B.1	24.0	610.0	0.0	good	good	good	good	good		False	Duggan,A., Hole,D., Yadav,C., Knox,N., Haidl,E., Chapel,M., Domselaar,G.V., Fernando,L., Graham,M., Antonation,K., Audet,J., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Jolly,G., Marchand-Austin,A., Eshaghi,A., Patel,S.N., Hasso,M., Gubbay,J.B., Olsha,R.	
ON983165	ON983165	ON983165.1	MpxV/human/CAN/UN-NML-3686/2022	2022-06-14	North America	Canada			Homo sapiens	2022-07-14		Duggan et al		hMPXV-1	B.1	277.0	610.0	0.0	good	good	good	good	good		False	Duggan,A., Hole,D., Yadav,C., Knox,N., Haidl,E., Chapel,M., Domselaar,G.V., Fernando,L., Graham,M., Antonation,K., Audet,J., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Jolly,G., Marchand-Austin,A., Eshaghi,A., Patel,S.N., Hasso,M., Gubbay,J.B., Olsha,R.	
ON983167	ON983167	ON983167.1	MpxV/human/CAN/UN-NML-3725/2022	2022-06-16	North America	Canada			Homo sapiens	2022-07-14		Duggan et al		hMPXV-1	B.1	25.0	610.0	0.0	good	good	good	good	good		False	Duggan,A., Hole,D., Yadav,C., Knox,N., Haidl,E., Chapel,M., Domselaar,G.V., Fernando,L., Graham,M., Antonation,K., Audet,J., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Jolly,G., Marchand-Austin,A., Eshaghi,A., Patel,S.N., Hasso,M., Gubbay,J.B., Olsha,R.	
ON843169	ON843169	ON843169.1	Monkeypox/PT0034/2022	2022-05-26	Europe	Portugal			Homo sapiens	2022-06-24		Isidro et al		hMPXV-1	B.1	559.0	603.0	0.0	good	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	
ON843171	ON843171	ON843171.1	Monkeypox/PT0030/2022	2022-05-26	Europe	Portugal			Homo sapiens	2022-06-24		Isidro et al		hMPXV-1	B.1	10818.0	579.0	0.0	mediocre	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	
ON755237	ON755237	ON755237.1	MPXV/Germany/2022/RKI031	2022-06-XX	Europe	Germany			Homo sapiens	2022-06-14		Brinkmann et al		hMPXV-1	B.1	127.0	605.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
ON843176	ON843176	ON843176.1	Monkeypox/PT0041/2022	2022-06-02	Europe	Portugal			Homo sapiens	2022-06-24		Isidro et al		hMPXV-1	B.1	57.0	605.0	0.0	good	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	
ON843177	ON843177	ON843177.1	Monkeypox/PT0047/2022	2022-06-02	Europe	Portugal			Homo sapiens	2022-06-24		Isidro et al		hMPXV-1	B.1	206.0	605.0	0.0	good	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	
ON843178	ON843178	ON843178.1	Monkeypox/PT0040/2022	2022-06-02	Europe	Portugal			Homo sapiens	2022-06-24		Isidro et al		hMPXV-1	B.1	229.0	605.0	0.0	good	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	
ON755242	ON755242	ON755242.1	MPXV/Germany/2022/RKI036	2022-06-XX	Europe	Germany			Homo sapiens	2022-06-14		Brinkmann et al		hMPXV-1	B.1	86.0	606.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
ON755241	ON755241	ON755241.1	MPXV/Germany/2022/RKI035	2022-06-XX	Europe	Germany			Homo sapiens	2022-06-14		Brinkmann et al		hMPXV-1	B.1	146.0	606.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
ON649879	ON649879	ON649879.1	MPXV_ISR001_2022	2022-05-20	Asia	Israel			Homo sapiens	2022-06-01		Israeli et al		hMPXV-1	B.1	0.0	604.0	0.0	good	good	good	good	good		False	Israeli,O., Guedj-Dana,Y., Lazar,S., Shifman,O., Erez,N., Weiss,S., Paran,N., Israely,T., Schuster,O., Zvi,A., Beth-Din,A., Cohen Gihon,I.	Biochemistry & Molecular Genetics, Israel Institute for Biological Research, Israel
ON755244	ON755244	ON755244.1	MPXV/Germany/2022/RKI038	2022-06-XX	Europe	Germany			Homo sapiens	2022-06-14		Brinkmann et al		hMPXV-1	B.1	147.0	608.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
ON676703	ON676703	ON676703.1	MPXV_USA_2022_CA001	2022-05-XX	North America	USA	California		Homo sapiens	2022-06-03		Gigante et al		hMPXV-1	B.1	8.0	606.0	0.0	good	good	good	good	good		False	Gigante,C.M., Ventura,J., Seabolt,M.H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Nash,J., Li,Y.	Division of High-Consequence Pathogens & Pathology, Centers for Disease Control & Prevention (US CDC), USA
ON853657	ON853657	ON853657.1	MPXV/Germany/2022/RKI071	2022-06-XX	Europe	Germany			Homo sapiens	2022-06-27		Brinkmann et al		hMPXV-1	B.1	381.0	604.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
ON676704	ON676704	ON676704.1	MPXV_USA_2022_FL002	2022-05-XX	North America	USA	Florida		Homo sapiens	2022-06-03		Gigante et al		hMPXV-1	B.1	5.0	607.0	0.0	good	good	good	good	good		False	Gigante,C.M., Lee,P., Seabolt,M.H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Mendoza,R., Li,Y.	Division of High-Consequence Pathogens & Pathology, Centers for Disease Control & Prevention (US CDC), USA
ON853662	ON853662	ON853662.1	MPXV/Germany/2022/RKI080	2022-06-XX	Europe	Germany			Homo sapiens	2022-06-27		Brinkmann et al		hMPXV-1	B.1	2259.0	602.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
ON853663	ON853663	ON853663.1	MPXV/Germany/2022/RKI081	2022-06-XX	Europe	Germany			Homo sapiens	2022-06-27		Brinkmann et al		hMPXV-1	B.1	196.0	606.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
ON755251	ON755251	ON755251.2	MPXV/Germany/2022/RKI045	2022-06-XX	Europe	Germany			Homo sapiens	2022-06-14		Brinkmann et al		hMPXV-1	B.1	629.0	608.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
ON853668	ON853668	ON853668.1	MPXV/Germany/2022/RKI086	2022-06-XX	Europe	Germany			Homo sapiens	2022-06-27		Brinkmann et al		hMPXV-1	B.1	247.0	610.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
ON853670	ON853670	ON853670.1	MPXV/Germany/2022/RKI090	2022-06-XX	Europe	Germany			Homo sapiens	2022-06-27		Brinkmann et al		hMPXV-1	B.1	120.0	608.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
ON853672	ON853672	ON853672.1	MPXV/Germany/2022/RKI093	2022-06-XX	Europe	Germany			Homo sapiens	2022-06-27		Brinkmann et al		hMPXV-1	B.1	162.0	609.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
ON755254	ON755254	ON755254.1	MPXV/Germany/2022/RKI048	2022-06-XX	Europe	Germany			Homo sapiens	2022-06-14		Brinkmann et al		hMPXV-1	B.1	119.0	608.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
ON853675	ON853675	ON853675.1	MPXV/Germany/2022/RKI096	2022-06-XX	Europe	Germany			Homo sapiens	2022-06-27		Brinkmann et al		hMPXV-1	B.1	173.0	605.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
ON853677	ON853677	ON853677.1	MPXV/Germany/2022/RKI099	2022-06-XX	Europe	Germany			Homo sapiens	2022-06-27		Brinkmann et al		hMPXV-1	B.1	866.0	603.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
ON853679	ON853679	ON853679.1	MPXV/Germany/2022/RKI077	2022-06-XX	Europe	Germany			Homo sapiens	2022-06-27		Brinkmann et al		hMPXV-1	B.1	170.0	605.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
ON682265	ON682265	ON682265.4	MPXV/Germany/2022/RKI04	2022-05-XX	Europe	Germany			Homo sapiens	2022-06-06		Brinkmann et al		hMPXV-1	B.1	173.0	605.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Stocker,H., Schaade,L., Nitsche,A.	Centre for Biological Threats, Highly Pathogenic Viruses, Robert Koch Institute, Germany
ON880413	ON880413	ON880413.1	MPX/BR0002/2022	2022-06-14	South America	Brazil			Homo sapiens	2022-06-30		Coletti et al		hMPXV-1	B.1	157.0	609.0	0.0	good	good	good	good	good	OPG118:4-638	False	Coletti,T.M., Ghilardi,F., khan,M.J., Claro,I.M., Valenca,I.N., Faria,N.R., Sabino,E.C.	
ON782021	ON782021	ON782021.1	MPX-37/Finland/2022	2022-05-24	Europe	Finland			Homo sapiens	2022-06-16		Kant et al		hMPXV-1	B.1	0.0	608.0	0.0	good	good	good	good	good		False	Kant,R., Smura,T., Vauhkonen,H., Vapalahti,O.	
ON880422	ON880422	ON880422.1	MPX/UZ_REGA_6/Belgium/2022	2022-05-27	Europe	Belgium			Homo sapiens	2022-06-30		Vanmechelen et al		hMPXV-1	B.1	0.0	606.0	0.0	good	good	good	good	good		False	Vanmechelen,B., Wawina-Bokalanga,T., Logist,A.-S., Sinnesael,R., Ysebaert,L., Verlinden,J., Van Holm,B., Bloemen,M., Maes,P.	
ON682267	ON682267	ON682267.2	MPXV/Germany/2022/RKI010	2022-05-XX	Europe	Germany			Homo sapiens	2022-06-06		Brinkmann et al		hMPXV-1	B.1	119.0	605.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	Centre for Biological Threats, Highly Pathogenic Viruses, Robert Koch Institute, Germany
ON880507	ON880507	ON880507.1	MpxV/human/CAN/UN-NML-3071/2022	2022-05-27	North America	Canada			Homo sapiens	2022-06-30		Duggan et al		hMPXV-1	B.1	5384.0	588.0	0.0	good	good	good	good	good		False	Duggan,A., Hole,D., Knox,N., Yadav,C., Haidl,E., Chapel,M., Domselaar,G.V., Jolly,G., Audet,J., Fernando,L., Antonation,K., Safronetz,D., Hagan,M., Griffiths,E., Leung,A., Graham,M., Peters,G., Go,A., Laminman,V., Kaplen,B., Eshaghi,A., Gubbay,J.B., Hasso,M., Marchand-Austin,A., Olsha,R., Patel,S.N.	
ON880509	ON880509	ON880509.1	MpxV/human/CAN/UN-NML-3137/2022	2022-05-29	North America	Canada			Homo sapiens	2022-06-30		Duggan et al		hMPXV-1	B.1	736.0	604.0	0.0	good	good	good	good	good		False	Duggan,A., Hole,D., Knox,N., Yadav,C., Haidl,E., Chapel,M., Domselaar,G.V., Jolly,G., Audet,J., Fernando,L., Antonation,K., Safronetz,D., Hagan,M., Griffiths,E., Leung,A., Graham,M., Peters,G., Go,A., Laminman,V., Kaplen,B., Eshaghi,A., Gubbay,J.B., Hasso,M., Marchand-Austin,A., Olsha,R., Patel,S.N.	
ON880511	ON880511	ON880511.1	MpxV/human/CAN/UN-NML-3214/2022	2022-05-30	North America	Canada			Homo sapiens	2022-06-30		Duggan et al		hMPXV-1	B.1	0.0	610.0	0.0	good	good	good	good	good		False	Duggan,A., Hole,D., Knox,N., Yadav,C., Haidl,E., Chapel,M., Domselaar,G.V., Jolly,G., Audet,J., Fernando,L., Antonation,K., Safronetz,D., Hagan,M., Griffiths,E., Leung,A., Graham,M., Peters,G., Go,A., Laminman,V., Kaplen,B., Eshaghi,A., Gubbay,J.B., Hasso,M., Marchand-Austin,A., Olsha,R., Patel,S.N.	
ON880513	ON880513	ON880513.1	MpxV/human/CAN/UN-NML-3407/2022	2022-06-04	North America	Canada			Homo sapiens	2022-06-30		Duggan et al		hMPXV-1	B.1	61.0	610.0	0.0	good	good	good	good	good		False	Duggan,A., Hole,D., Knox,N., Yadav,C., Haidl,E., Chapel,M., Domselaar,G.V., Jolly,G., Audet,J., Fernando,L., Antonation,K., Safronetz,D., Hagan,M., Griffiths,E., Leung,A., Graham,M., Peters,G., Go,A., Laminman,V., Kaplen,B., Eshaghi,A., Gubbay,J.B., Hasso,M., Marchand-Austin,A., Olsha,R., Patel,S.N.	
ON803415	ON803415	ON803415.1	MpxV/human/CAN/UN-NML-2936/2022	2022-05-20	North America	Canada			Homo sapiens	2022-06-21		Knox et al		hMPXV-1	B.1	4218.0	599.0	0.0	good	good	good	good	good		False	Knox,N., Hole,D., Duggan,A., Yadav,C., Haidl,E., Chapel,M., Graham,M., Domselaar,G.V., Jolly,G., Audet,J., Fernando,L., Antonation,K., Hagan,M., Griffiths,E., Leung,A., Safronetz,D., Eshaghi,A., Gubbay,J.B., Hasso,M., Marchand-Austin,A., Olsha,R., Patel,S.N.	
ON880518	ON880518	ON880518.1	MpxV/human/CAN/UN-NML-3486/2022	2022-06-08	North America	Canada			Homo sapiens	2022-06-30		Duggan et al		hMPXV-1	B.1	13000.0	571.0	0.0	mediocre	good	good	good	good		False	Duggan,A., Hole,D., Knox,N., Yadav,C., Haidl,E., Chapel,M., Domselaar,G.V., Jolly,G., Audet,J., Fernando,L., Antonation,K., Safronetz,D., Hagan,M., Griffiths,E., Leung,A., Graham,M., Peters,G., Go,A., Laminman,V., Kaplen,B., Eshaghi,A., Gubbay,J.B., Hasso,M., Marchand-Austin,A., Olsha,R., Patel,S.N.	
ON880520	ON880520	ON880520.1	MpxV/human/CAN/UN-NML-2857/2022	2022-05-19	North America	Canada			Homo sapiens	2022-06-30		Duggan et al		hMPXV-1	B.1	9314.0	577.0	0.0	mediocre	good	good	good	good		False	Duggan,A., Hole,D., Knox,N., Yadav,C., Haidl,E., Chapel,M., Domselaar,G.V., Fernando,L., Graham,M., Antonation,K., Audet,J., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Jolly,G., Charest,H., Levade,I., Fafard,J.	
ON649708	ON649708	ON649708.1	Monkeypox/PT0023/2022	2022-05-19	Europe	Portugal			Homo sapiens	2022-06-01		Isidro et al		hMPXV-1	B.1	382.0	604.0	0.0	good	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P.	Institute National de Saude Doutor Ricardo Jorge (INSA), Portugal
ON880523	ON880523	ON880523.1	MpxV/human/CAN/UN-NML-2898/2022	2022-05-20	North America	Canada			Homo sapiens	2022-06-30		Duggan et al		hMPXV-1	B.1	899.0	610.0	0.0	good	good	good	good	good		False	Duggan,A., Hole,D., Knox,N., Yadav,C., Haidl,E., Chapel,M., Domselaar,G.V., Fernando,L., Graham,M., Antonation,K., Audet,J., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Jolly,G., Charest,H., Levade,I., Fafard,J.	
ON803419	ON803419	ON803419.1	MpxV/human/CAN/UN-NML-2844/2022	2022-05-14	North America	Canada			Homo sapiens	2022-06-21		Knox et al		hMPXV-1	B.1	79.0	605.0	0.0	good	good	good	good	good		False	Knox,N., Duggan,A., Yadav,C., Hole,D., Haidl,E., Chapel,M., Jolly,G., Domselaar,G.V., Antonation,K., Leung,A., Fernando,L., Audet,J., Hagan,M., Graham,M., Griffiths,E., Safronetz,D., Charest,H., Levade,I., Fafard,J.	
ON803420	ON803420	ON803420.1	MpxV/human/CAN/UN-NML-2846/2022	2022-05-19	North America	Canada			Homo sapiens	2022-06-21		Knox et al		hMPXV-1	B.1	134.0	610.0	0.0	good	good	good	good	good		False	Knox,N., Duggan,A., Yadav,C., Hole,D., Haidl,E., Chapel,M., Jolly,G., Domselaar,G.V., Antonation,K., Leung,A., Fernando,L., Audet,J., Hagan,M., Graham,M., Griffiths,E., Safronetz,D., Charest,H., Levade,I., Fafard,J.	
ON803421	ON803421	ON803421.1	MpxV/human/CAN/UN-NML-2849/2022	2022-05-19	North America	Canada			Homo sapiens	2022-06-21		Knox et al		hMPXV-1	B.1	172.0	605.0	0.0	good	good	good	good	good		False	Knox,N., Duggan,A., Yadav,C., Hole,D., Haidl,E., Chapel,M., Jolly,G., Domselaar,G.V., Antonation,K., Leung,A., Fernando,L., Audet,J., Hagan,M., Graham,M., Griffiths,E., Safronetz,D., Charest,H., Levade,I., Fafard,J.	
ON880532	ON880532	ON880532.1	MpxV/human/CAN/UN-NML-3253/2022	2022-05-30	North America	Canada			Homo sapiens	2022-06-30		Duggan et al		hMPXV-1	B.1	3985.0	591.0	0.0	good	good	good	good	good		False	Duggan,A., Hole,D., Knox,N., Yadav,C., Haidl,E., Chapel,M., Domselaar,G.V., Fernando,L., Graham,M., Antonation,K., Audet,J., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Jolly,G., Charest,H., Levade,I., Fafard,J.	
ON880534	ON880534	ON880534.1	MpxV/human/CAN/UN-NML-3262/2022	2022-05-30	North America	Canada			Homo sapiens	2022-06-30		Duggan et al		hMPXV-1	B.1	107.0	608.0	0.0	good	good	good	good	good		False	Duggan,A., Hole,D., Knox,N., Yadav,C., Haidl,E., Chapel,M., Domselaar,G.V., Fernando,L., Graham,M., Antonation,K., Audet,J., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Jolly,G., Charest,H., Levade,I., Fafard,J.	
ON880536	ON880536	ON880536.1	MpxV/human/CAN/UN-NML-3272/2022	2022-05-31	North America	Canada			Homo sapiens	2022-06-30		Duggan et al		hMPXV-1	B.1	0.0	607.0	0.0	good	good	good	good	good		False	Duggan,A., Hole,D., Knox,N., Yadav,C., Haidl,E., Chapel,M., Domselaar,G.V., Fernando,L., Graham,M., Antonation,K., Audet,J., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Jolly,G., Charest,H., Levade,I., Fafard,J.	
ON694333	ON694333	ON694333.1	MPXV/Germany/2022/RKI022	2022-05-XX	Europe	Germany			Homo sapiens	2022-06-07		Brinkmann et al		hMPXV-1	B.1	104.0	605.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Stocker,H., Schaade,L., Nitsche,A.	Centre for Biological Threats, Highly Pathogenic Viruses, Robert Koch Institute, Germany
ON694334	ON694334	ON694334.1	MPXV/Germany/2022/RKI021	2022-05-XX	Europe	Germany			Homo sapiens	2022-06-07		Brinkmann et al		hMPXV-1	B.1	135.0	606.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Stocker,H., Schaade,L., Nitsche,A.	Centre for Biological Threats, Highly Pathogenic Viruses, Robert Koch Institute, Germany
ON803427	ON803427	ON803427.1	MpxV/human/CAN/UN-NML-2861/2022	2022-05-18	North America	Canada			Homo sapiens	2022-06-21		Knox et al		hMPXV-1	B.1	226.0	605.0	0.0	good	good	good	good	good		False	Knox,N., Duggan,A., Yadav,C., Hole,D., Haidl,E., Chapel,M., Jolly,G., Domselaar,G.V., Antonation,K., Leung,A., Fernando,L., Audet,J., Hagan,M., Graham,M., Griffiths,E., Safronetz,D., Charest,H., Levade,I., Fafard,J.	
ON880543	ON880543	ON880543.1	MpxV/human/CAN/UN-NML-3357/2022	2022-06-02	North America	Canada			Homo sapiens	2022-06-30		Duggan et al		hMPXV-1	B.1	23.0	608.0	0.0	good	good	good	good	good		False	Duggan,A., Hole,D., Knox,N., Yadav,C., Haidl,E., Chapel,M., Domselaar,G.V., Fernando,L., Graham,M., Antonation,K., Audet,J., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Jolly,G., Charest,H., Levade,I., Fafard,J.	
